1192,1126,23,924,987,355,503,360,471,947,515,1215,948,647,962,346,1040,461,1035,775,292,473,452,498,341,206,743,1085,387,381,796,559,1229,195,518,686,487,259,1226,561,212,682,629,375,936,1104,252,844,565,657,
771,782,664,1000,1198,968,44,531,409,582,474,128,826,604,385,165,635,465,587,163,528,69,963,977,464,620,497,688,536,725,429,301,775,194,416,697,815,269,943,908,358,556,889,611,587,804,941,272,413,739,
202,1041,1006,408,970,226,936,266,332,154,913,560,637,1122,981,724,247,73,242,860,501,371,672,1046,633,470,345,775,50,231,891,416,1006,422,295,398,220,720,1005,885,716,845,259,150,606,920,482,616,184,385,
927,825,879,692,847,848,867,373,900,837,376,657,994,103,474,738,520,282,497,899,517,1091,312,668,919,749,429,652,521,1047,882,374,579,1025,254,559,681,177,942,1171,642,1086,529,955,820,203,638,31,280,970,
1192,1126,23,924,987,355,503,360,471,947,515,1215,948,647,962,346,1040,461,1035,775,292,473,452,498,341,206,743,1085,387,381,796,559,1229,195,518,686,487,259,1226,561,212,682,629,375,936,1104,252,844,565,657,
898,758,319,420,884,254,1060,503,490,422,708,633,945,263,711,266,441,893,240,1006,52,532,935,597,883,429,474,455,755,914,979,1064,535,219,587,502,1134,219,216,152,697,435,318,524,861,564,594,713,627,619,
986,1001,715,568,1121,678,579,404,568,242,361,250,491,1122,851,626,634,1032,1304,934,206,934,485,391,581,1165,799,993,768,393,469,1152,636,824,545,504,1298,471,587,476,745,825,504,494,864,460,692,656,837,318,
297,936,305,1022,1033,764,639,1291,970,504,954,813,432,940,1011,749,539,800,593,531,1045,1066,163,441,904,580,484,268,218,637,248,408,640,86,636,572,677,653,384,768,363,166,721,896,332,813,992,1026,810,340,
431,479,260,720,460,96,618,357,750,942,570,776,640,125,499,523,904,428,922,873,143,915,1155,854,460,821,631,434,971,1188,846,775,1007,913,260,557,696,907,799,676,113,663,199,335,748,261,568,1351,512,1090,
220,293,557,358,498,1310,1134,644,272,436,808,362,1193,885,200,696,480,594,469,712,546,880,922,491,388,911,738,1070,404,1097,879,671,718,691,387,1113,955,341,174,407,1141,571,972,909,626,886,649,413,902,774,
801,555,68,1055,713,355,223,641,503,474,141,638,537,93,729,615,420,406,318,18,270,366,702,646,1117,37,1124,627,209,540,1023,1181,896,338,176,813,902,347,676,552,1334,1131,485,594,946,911,854,236,386,50,
975,1041,817,548,280,706,650,281,709,676,206,914,307,917,116,446,516,158,645,1030,154,476,735,550,478,444,789,1025,505,835,841,435,435,706,722,550,899,965,378,559,555,209,1084,888,351,912,245,271,314,874,
131,856,106,370,424,533,398,685,705,450,403,354,773,1103,716,258,94,327,899,557,428,78,301,341,915,191,242,972,36,183,287,880,461,214,995,672,463,732,857,492,884,493,764,527,915,658,134,418,735,1019,
660,691,429,161,896,240,808,163,668,720,1003,909,1315,998,941,575,952,496,726,1006,279,185,958,963,260,820,470,974,1000,361,147,761,278,196,1279,884,323,575,888,321,380,1071,943,257,310,134,804,14,651,827,
297,936,305,1022,1033,764,639,1291,970,504,954,813,432,940,1011,749,539,800,593,531,1045,1066,163,441,904,580,484,268,218,637,248,408,640,86,636,572,677,653,384,768,363,166,721,896,332,813,992,1026,810,340,
779,1008,140,661,922,673,1136,1120,138,790,883,403,1073,291,968,301,484,444,1051,273,288,721,575,1029,692,153,299,853,674,45,1163,100,678,472,532,639,1088,1256,482,1133,804,385,1006,534,646,993,74,588,978,1085,
368,960,693,919,223,864,892,526,799,719,305,874,440,360,609,418,302,881,480,1135,619,73,982,793,36,658,1214,466,386,909,998,476,439,1054,855,954,233,1022,697,887,45,725,88,1072,722,599,338,693,579,1108,
958,733,725,744,831,71,548,356,1080,987,110,461,236,971,693,377,255,394,1081,307,362,1100,409,542,401,713,1380,821,1092,1006,460,480,698,580,351,934,697,200,675,788,608,360,429,853,1082,977,469,848,289,749,
421,134,87,343,396,604,890,671,893,885,783,956,989,298,421,407,976,856,166,684,674,186,216,299,848,407,462,1067,793,971,158,822,279,1182,324,831,426,948,201,648,259,558,524,243,399,848,64,677,82,413,
958,733,725,744,831,71,548,356,1080,987,110,461,236,971,693,377,255,394,1081,307,362,1100,409,542,401,713,1380,821,1092,1006,460,480,698,580,351,934,697,200,675,788,608,360,429,853,1082,977,469,848,289,749,
986,1001,715,568,1121,678,579,404,568,242,361,250,491,1122,851,626,634,1032,1304,934,206,934,485,391,581,1165,799,993,768,393,469,1152,636,824,545,504,1298,471,587,476,745,825,504,494,864,460,692,656,837,318,
561,405,406,158,829,657,628,819,1043,615,992,959,208,1235,644,785,30,677,905,795,1018,1158,622,1143,694,283,965,915,1035,884,123,1011,1056,429,142,1002,154,1064,547,775,439,132,917,293,704,799,338,936,483,832,
705,968,1005,593,506,345,755,93,576,91,853,463,732,592,927,668,423,355,692,926,1267,878,207,462,853,687,490,666,849,190,322,706,307,741,325,1057,421,381,1172,631,462,782,407,325,873,881,651,1073,427,65,
584,423,512,527,259,165,272,142,468,503,172,716,655,909,85,996,874,202,799,955,457,332,257,302,289,929,243,544,471,728,1097,769,606,868,976,1102,512,350,1028,816,1009,345,150,262,195,957,824,707,292,517,
403,689,1004,298,454,779,348,683,1059,1078,1104,647,472,978,973,687,1048,799,921,405,282,807,739,557,456,752,959,428,215,746,1027,631,1008,1054,612,124,279,811,481,903,208,630,407,681,873,304,1167,480,919,346,
308,818,898,410,1161,1093,239,590,400,287,874,1006,80,159,832,712,194,586,445,1232,293,592,660,544,251,516,877,394,98,829,554,245,881,395,497,617,161,267,362,166,466,933,510,967,529,373,444,974,728,1014,
367,571,1012,455,476,1131,785,620,756,876,1010,318,1221,317,1110,990,806,914,258,446,490,993,552,821,475,237,474,523,530,772,739,935,993,1192,216,536,828,1034,915,1028,398,840,305,343,246,562,710,928,157,625,
461,870,932,898,328,686,834,242,464,611,1056,453,459,717,297,618,635,452,973,313,1050,223,864,206,113,196,123,996,1109,509,1347,543,669,692,362,815,408,484,859,404,1092,895,845,461,376,750,1001,599,499,971,
958,733,725,744,831,71,548,356,1080,987,110,461,236,971,693,377,255,394,1081,307,362,1100,409,542,401,713,1380,821,1092,1006,460,480,698,580,351,934,697,200,675,788,608,360,429,853,1082,977,469,848,289,749,
220,293,557,358,498,1310,1134,644,272,436,808,362,1193,885,200,696,480,594,469,712,546,880,922,491,388,911,738,1070,404,1097,879,671,718,691,387,1113,955,341,174,407,1141,571,972,909,626,886,649,413,902,774,
897,286,859,428,247,416,367,635,1019,723,979,706,1075,1416,116,1103,357,384,203,507,995,1299,388,986,876,685,702,349,1022,185,782,938,97,726,1265,842,1113,888,325,239,190,824,281,929,662,934,368,1031,622,234,
705,968,1005,593,506,345,755,93,576,91,853,463,732,592,927,668,423,355,692,926,1267,878,207,462,853,687,490,666,849,190,322,706,307,741,325,1057,421,381,1172,631,462,782,407,325,873,881,651,1073,427,65,
297,936,305,1022,1033,764,639,1291,970,504,954,813,432,940,1011,749,539,800,593,531,1045,1066,163,441,904,580,484,268,218,637,248,408,640,86,636,572,677,653,384,768,363,166,721,896,332,813,992,1026,810,340,
779,1008,140,661,922,673,1136,1120,138,790,883,403,1073,291,968,301,484,444,1051,273,288,721,575,1029,692,153,299,853,674,45,1163,100,678,472,532,639,1088,1256,482,1133,804,385,1006,534,646,993,74,588,978,1085,
